13,99554,598199,75.0
21,60497,621464,75.0
30,99102,515625,73.6
31,119587,499850,76.5
35,116784,525378,72.6
43,110576,413471,109.0
45,105995,438416,102.0
47,69021,429662,103.0
49,72816,419777,100.0
53,101777,402898,103.0
54,83702,416378,102.0
57,94707,479515,74.3
61,-31466,522650,66.1
67,-42754,494710,63.4
71,-11787,546191,75.1
74,26970,459805,91.2
78,66134,484133,73.8
83,66334,460292,94.2
85,61736,449321,98.5
91,16184,468883,82.0
101,-28747,630454,81.6
103,6586,623982,68.2
105,-32449,600542,81.2
106,-6684,643917,80.8
111,55625,581884,71.1
119,138651,553677,71.8
120,153350,547467,66.3
137,28250,630851,79.8
139,21065,623477,69.6
142,35041,623277,79.6
149,-27367,558952,70.6
151,-60739,472162,65.1
157,-64584,630434,76.4
173,-37539,604025,76.1
175,-42432,605020,83.4
182,-53445,439438,64.5
186,800,414308,96.2
189,16181,422889,100.0
191,9289,386666,91.5
207,-56713,360811,109.0
209,-10086,383574,104.0
212,-69397,368095,81.6
213,-71582,351531,102.0
215,-40828,340567,103.0
219,-38854,408822,60.1
221,-45834,380581,87.6
223,-24516,239065,87.2
227,-55409,231777,102.0
231,-27380,191850,88.8
233,-26288,198835,88.4
244,3981,200443,93.0
246,-5374,165603,81.1
264,-697,311932,92.4
266,4093,297955,95.6
284,10082,331884,107.0
285,14872,323805,83.0
287,-25554,333583,117.0
295,61600,348545,96.0
304,-76593,149620,92.7
312,-43869,154219,91.5
322,68279,75244,92.6
323,52710,81345,101.0
334,66503,129051,98.3
337,60284,155709,107.0
339,52759,183763,96.1
343,99640,104391,99.2
344,81625,91821,71.4
355,-22319,61984,104.0
371,-67646,58180,106.0
372,-76881,29629,120.0
375,-30629,41818,105.0
376,-29511,17754,120.0
379,-39194,3774,96.4
387,1390,-19526,105.0
390,-41576,-32402,86.0
391,35369,29933,93.0
395,4066,43908,105.0
399,-16251,37417,111.0
411,32222,-26216,91.5
414,51821,-35403,95.8
420,15938,9173,102.0
421,5641,12660,95.9
423,196005,12704,84.1
427,181888,-49372,91.6
428,175587,41269,92.2
434,205606,62005,106.0
439,210843,-22344,86.8
440,249987,35436,99.7
442,260980,45403,101.0
445,192125,65610,80.1
452,261000,-34202,98.1
461,238866,69907,103.0
466,230996,53668,102.0
469,264652,53810,102.0
477,262137,155652,124.0
479,202324,197056,122.0
480,227145,203250,114.0
484,222683,159045,97.4
485,226348,174748,133.0
488,247475,205365,121.0
509,113195,146503,114.0
515,129624,149389,117.0
517,131822,181032,109.0
526,153498,147981,104.0
529,86600,226472,111.0
530,68711,195939,90.9
546,86352,203012,86.0
548,27487,196247,95.6
549,12642,178272,96.7
553,44818,204331,101.0
567,109622,63257,92.4
569,92318,50679,89.5
570,95352,40196,82.2
571,105572,42091,91.3
574,86013,33511,92.5
575,114634,-8354,98.9
576,113592,-35499,80.0
588,84560,-42989,104.0
601,60309,602623,81.2
604,-28373,444937,80.9
605,-43252,438253,54.9
609,176199,149968,81.7
617,201999,18683,95.4
620,166192,591618,69.7
625,-27766,574814,63.9
630,58638,469868,88.2
633,-29462,171490,81.7
651,103,462004,92.4
654,-64854,300036,68.9
658,-40597,161508,90.2
664,9045,114291,107.0
670,21365,116684,110.0
676,-41950,128267,81.5
697,-50530,-34401,124.0
701,234910,644031,90.2
703,149000,598723,71.8
708,224053,596436,71.3
710,193423,620673,81.4
711,175227,631173,76.3
715,246093,514368,59.4
716,242374,450919,72.5
719,183800,574935,88.9
723,187841,424957,101.0
725,176413,394340,114.0
727,207790,540084,76.4
736,191552,511014,80.6
746,185620,407006,107.0
749,190203,391435,112.0
754,151671,473773,110.0
755,193343,525665,75.3
765,252079,324576,112.0
768,222093,279030,114.0
769,244792,302464,101.0
772,161830,331710,89.8
773,146512,309367,124.0
784,114711,345819,110.0
787,109514,272773,109.0
796,175828,336985,110.0
798,154895,264950,121.0
806,230172,565713,70.5
811,161409,582360,67.0
826,249722,417586,74.9
835,154671,460104,82.3
838,146475,480368,71.3
839,149076,488445,112.0
848,151259,527128,74.8
853,135003,359074,117.0
854,110746,370868,104.0
861,179171,275310,148.0
862,210834,311697,108.0
866,28770,431766,91.6
867,24675,477260,95.3
870,1589,172391,87.0
874,164014,99565,103.0
889,117297,70837,102.0
895,3666,55797,90.4
900,-5292,498818,72.1
901,69832,154207,104.0
919,26276,468290,89.0
920,21173,534220,56.1
933,233618,578699,76.0
934,237781,584239,72.2
942,191310,630741,86.0
945,133998,208877,107.0
948,138479,457933,91.8
953,25204,213912,96.2
959,37703,-40488,81.8
961,242284,-6432,108.0
967,128077,232341,104.0
968,161352,255372,98.5
977,-31588,105099,105.0
979,45023,622468,56.3
991,104897,464045,83.6
992,99706,476227,82.2
994,165976,43665,96.1
1000,257782,139788,137.0
1002,-21760,112689,102.0
1003,182387,588996,78.2
1004,161621,61438,81.2
1007,250299,53884,111.0
